"title","commits","additions","deletions","changed_files","author_association"
"fix a_ to allocator_",1,1,1,1,"NONE"
"Fix typos",1,8,8,7,"CONTRIBUTOR"
"Hide MSVC workaround from Clang on Windows",1,1,1,1,"CONTRIBUTOR"
"Add internal release notes that were previously missing.",2,105,6,1,"MEMBER"
"Add new internal release notes that were missed in the previous iteration.",15,996,301,51,"MEMBER"
"Fix r1.5 tests.",1,12,3,3,"MEMBER"
"Branch 181341793",24,3321,211,79,"MEMBER"
"MKL: Fix for a compilation error caused by a previous commit",1,1,1,1,"CONTRIBUTOR"
"Fix local path for hexagon_graph_execution in sample script",861,324953,24057,1436,"NONE"
"Adding cuda_config.h to the pip package.",8,6,1,2,"MEMBER"
"Branch 181239691",19,2646,359,68,"MEMBER"
"Adding an install sources line for 1.5.0-rc0. Earlier we only updated…",3,8,2,1,"MEMBER"
"Branch 181174976",11,2906,2249,108,"MEMBER"
"Update 1_notmnist.ipynb",1,1,1,1,"NONE"
"Windows: Override /DEIGEN_STRONG_INLINE=inline for //tensorflow/core/kernels:conv_ops",1,24,3,4,"MEMBER"
"Fix tensorflow::CurrentStackTrace when TF_GENERATE_BACKTRACE isn't defined",1,2,0,1,"MEMBER"
"Utility classes for writing Java source code from a C++ process (part 2)",2,430,3,4,"CONTRIBUTOR"
"R1.5/verbs w 0 copies",12,1378,831,14,"CONTRIBUTOR"
"Add clean_dep to copts macro.",1,1,1,1,"CONTRIBUTOR"
"Add clean_dep to a bazel macro.",1,1,1,1,"CONTRIBUTOR"
"Add pos_weights practical interpretation",1,4,1,1,"CONTRIBUTOR"
"Update docs for `concat` in case `axis < 0`",2,25,1,1,"MEMBER"
"Branch 180993147",45,3799,1565,127,"CONTRIBUTOR"
"Addresses S3 timeout configurability discussed in #15868",16,16,0,1,"CONTRIBUTOR"
"DO NOT MERGE YET: Cuda config",2,4,1,1,"MEMBER"
"Use https for `www.tensorflow.org`",3,2,2,2,"MEMBER"
"Cleanup CocoaPods dependency from TFLite iOS examples",4,1,85,5,"CONTRIBUTOR"
"Deletes unnecessary lines of code",1,0,5,1,"MEMBER"
"Add release note: sparse tensors in `tf.data`",1,1,0,1,"CONTRIBUTOR"
"Fix a few pip tests",1,2,2,3,"CONTRIBUTOR"
"Removing twice times declared same statement in Java_org_tensorflow_Operation_shape function",6,1,4,1,"CONTRIBUTOR"
"Windows: Release script for C library GPU builds on Windows",1,78,24,5,"MEMBER"
"fix the comments which mistake x for y in gradient_checker",1,2,2,1,"CONTRIBUTOR"
"Branch 180856860",121,268237,4773,497,"CONTRIBUTOR"
"extract populate weight collection.",1,11,10,1,"NONE"
"Fix docs",5,6,4,4,"MEMBER"
"Fix typo in eager value_and_gradients docstring",1,1,1,1,"CONTRIBUTOR"
"extract populate weight collection.",1,11,10,1,"NONE"
"Branch 180746153",81,264700,4088,276,"CONTRIBUTOR"
"Update documentation for gather_nd/gather to specify behaviors for out-of-bound indices",4,22,0,4,"MEMBER"
"MKL DNN: Implementing MKL DNN version of Softmax",1,181,0,3,"CONTRIBUTOR"
"Enable tilde expansion in debug wrappers",1,2,0,2,"CONTRIBUTOR"
"Fixes and formatting to configure.py",1,21,20,1,"CONTRIBUTOR"
"WIP: LSTMBlockFusedCell supports Dropout",1,45,1,1,"CONTRIBUTOR"
"Windows: Disable bfloat16_test and framework_dtypes_test",1,2,0,1,"MEMBER"
"Add axis support for `tf.nn.crelu`",4,26,3,3,"MEMBER"
"[Bazel/Windows] Wrap rm -rf in Bash for Windows (and some refactoring)",1,12,8,1,"CONTRIBUTOR"
"Merging 1.5.0-rc0 back to master.",1,101,39,14,"MEMBER"
"Remove :0 in final result argument",1,1,1,1,"CONTRIBUTOR"
"Update advise.md",1,1,1,1,"CONTRIBUTOR"
"Revert ""Remove unneeded branch check (#13495)""",1,9,7,1,"MEMBER"
"Revert ""Fix a bug: bfloat16 is unsigned on Windows (#15302)""",1,0,1,1,"MEMBER"
"Fix git configuration on Windows",1,37,2,1,"MEMBER"
"Fix typo in UserInputError()",1,2,2,1,"CONTRIBUTOR"
"Closing input stream, runner session in TensorFlowInferenceInterface.java and fixing bit changes",12,2,0,1,"CONTRIBUTOR"
"Fix typo in LinearModel() docstring",1,1,1,1,"CONTRIBUTOR"
"Remove noop python command in pyx_library rule.",2,8,10,1,"OWNER"
"Fix unstable test case for Select op",2,30,0,2,"CONTRIBUTOR"
"Memory allocation improvement for `decode_libsvm`",3,26,16,1,"MEMBER"
"Fixing the item_test failure.",1,1,1,1,"MEMBER"
"Fix docs to recommend cuDNN 6.0, rather than the old 5.1 or non-exist…",1,2,2,2,"MEMBER"
"Change dso_loader to look for libcupti.so instead of libcupti.so.8.0",1,1,1,1,"CONTRIBUTOR"
"Fix build issues with cuda 9.1 through updating eigen.",2,4,5,2,"OWNER"
"Fix kmeans gpu and upgrading TF base images to 16",2,12,14,11,"MEMBER"
"order quantized table by value for ease of reading",1,1,1,1,"CONTRIBUTOR"
"order quantized table by value for ease of reading",1,1,1,1,"CONTRIBUTOR"
"order quantized table by value for ease of reading",1,1,1,1,"CONTRIBUTOR"
"[configure] eagerly determine the truthfulness of environment variables",5,24,2,1,"CONTRIBUTOR"
"R1.2",19,73,85,20,"NONE"
"Fix invalid Markdown in docstring",1,1,1,1,"CONTRIBUTOR"
"remove trailing semicolon at the end of line",1,3,3,1,"CONTRIBUTOR"
"Trivial python syntax fixes",0,0,0,0,"NONE"
"Revert ""C++ gradient for Select (#14862)""",1,0,26,2,"OWNER"
"Branch 180441903",9,306,255,21,"MEMBER"
"Make unused variable warning an error during TF builds.",1,1,0,1,"OWNER"
"Revert ""add c++ gradient for op: Pow (#15245)""",1,0,43,2,"OWNER"
"Update license year",0,0,0,0,"CONTRIBUTOR"
"Fixes #15736",1,6,0,1,"NONE"
"Fixes #15736",0,0,0,0,"NONE"
"[XLA] Fix std::array initialization take 2",1,8,8,1,"CONTRIBUTOR"
"[XLA] Define TF_COMPILE_LIBRARY for two libraries",1,3,0,1,"CONTRIBUTOR"
"[XLA] Add missing win header deps to framework_lite",1,2,1,1,"CONTRIBUTOR"
"Use Eigen version of the `scalar_pow_op` for `pow` ops",2,1,19,1,"MEMBER"
"Simplify the dense_to_one_hot method",1,1,5,1,"NONE"
"Fix the headers error due to recent CUDA9.1 change",0,0,0,0,"CONTRIBUTOR"
"fix typo",1,1,1,1,"CONTRIBUTOR"
"Fixed a typo for CreateBody()",1,1,1,1,"CONTRIBUTOR"
"MKL: update mkldnn to the latest release",1,4,4,1,"CONTRIBUTOR"
"Optimizing code and adding from http to https",8,3,4,3,"CONTRIBUTOR"
"getting latest pull",2,0,0,0,"CONTRIBUTOR"
"Removing extra space, preventing double declared ""if"" statement and from http to https",3,3,4,3,"CONTRIBUTOR"
"Update estimator.md",1,1,1,1,"CONTRIBUTOR"
"fix doc `tf.data.contrib.map_and_batch` to `tf.contrib.data.map_and_batch`",1,1,1,1,"CONTRIBUTOR"
"Update graphs.md",1,1,1,1,"CONTRIBUTOR"
"Update estimator.md",1,1,1,1,"CONTRIBUTOR"
"updated the latest mkldnn",0,0,0,0,"CONTRIBUTOR"
"updated the latest mkldnn",1,4,4,1,"CONTRIBUTOR"
"Used template version of SafeStringToNumeric to reduce code duplication",1,2,25,1,"MEMBER"
"Branch 180304271",8,111,51,17,"MEMBER"
"Fix out of memory issue on Tegra devices",1,4,0,1,"CONTRIBUTOR"
"Cherrypicks",3,38,1,4,"MEMBER"
"fix description of HASHTABLE_LOOKUP in smartreply doc",1,2,2,1,"CONTRIBUTOR"
"R1.4",71,2948,1241,81,"NONE"
"Improve doc of TFRecordDataset, shuffle ahead of map",1,3,3,1,"CONTRIBUTOR"
"De-Bazel pip_smoke_test sanity check",1,14,23,3,"CONTRIBUTOR"
"Enabling tests to pass with python3.6. Updating dependencies for dock…",2,19,0,1,"MEMBER"
"Branch 180224227",8,328,11,16,"MEMBER"
"Remove third_party/ prefixes",1,2,2,1,"CONTRIBUTOR"
"[README] Link to build history",1,2,2,1,"CONTRIBUTOR"
"[CMake] Add sanity tests for python file lists",3,146,5,4,"CONTRIBUTOR"
"minor wording fix in (slim) readme",1,1,1,1,"CONTRIBUTOR"
"updated Readme.md",1,2,2,1,"CONTRIBUTOR"
"Fix small typo in docstring which causes the API doc to render incorr…",1,1,1,1,"CONTRIBUTOR"
"Revert ""Fix a bug: bfloat16 is unsigned on Windows (#15302)""",1,0,1,1,"MEMBER"
"Fix typo 'updaye' in audio_recognition.md",1,1,1,1,"CONTRIBUTOR"
"add a function to add extra logging handler",1,10,0,1,"CONTRIBUTOR"
"Removed misplaced quote char",1,1,1,1,"CONTRIBUTOR"
"Enable `axis` support for `tf.unique`",8,80,21,9,"MEMBER"
"Clarify batch_norm documentation to highlight that the dimensions for…",0,0,0,0,"NONE"
"fix variable name",1,1,1,1,"CONTRIBUTOR"
"Predictor fixes for core estimators",2,30,3,4,"CONTRIBUTOR"
"Branch 180147476",2,1,3,1,"MEMBER"
"Fix an lib error while building with CUDA9.1",0,0,0,0,"CONTRIBUTOR"
"Branch 180053468",2,81,37,3,"MEMBER"
"Update: HTTP -> HTTPS",1,6,6,3,"CONTRIBUTOR"
"Fix periodic resample",4,65,14,4,"CONTRIBUTOR"
"[CMake] Include example compile script",2,26,0,1,"CONTRIBUTOR"
"Branch 180008567",31,1322,615,109,"CONTRIBUTOR"
"Optimize FusedBatchNormGrad.",1,115,18,4,"CONTRIBUTOR"
"Make `frame` positions configurable",2,20,10,2,"CONTRIBUTOR"
"[CMake] Remove invalid python modules",3,19,33,2,"CONTRIBUTOR"
"[CMake] Test existence of python entries",1,9,0,1,"CONTRIBUTOR"
"Optimize FusedBatchNorm (and fix a bug).",1,218,12,4,"CONTRIBUTOR"
"Exclude tf_stream_executor.cmake for CPU only",1,3,1,1,"CONTRIBUTOR"
"Freeze pb model will not remove is_training flag of bn attr and it is moreover still set as true",577,47859,14537,902,"NONE"
"R1.4",71,2948,1241,81,"NONE"
"Adding installation dependencies for python3.6 based on failures from…",13,21,0,1,"MEMBER"
"Update tf-learn reference to TF Estimators",1,1,1,1,"MEMBER"
"MKL: Adding MKL-DNN support for LRN op",1,666,3,3,"CONTRIBUTOR"
"Branch 179953488",53,7402,2385,167,"CONTRIBUTOR"
"Refactor methods for path calculation",1,53,9,2,"CONTRIBUTOR"
"Apply rc0 cherry-picks",5,839,243,19,"MEMBER"
"[Bazel/MSVC] Fix build error since aae439c",3,5,2,2,"CONTRIBUTOR"
"Portability fix for StrAppend",1,3,0,1,"CONTRIBUTOR"
"update README.md",0,0,0,0,"CONTRIBUTOR"
"Fix adding elements to collections.deque.",1,1,1,1,"CONTRIBUTOR"
"Recognize more environments as interactive",1,9,0,1,"OWNER"
"MKL: Reverting PR #14478, which breaks Inception v3 with MKL.",1,1,0,1,"CONTRIBUTOR"
"Fix typos",2,2,2,2,"CONTRIBUTOR"
"_Assert3DImage that adds a control dependency for the shape check.",491,292248,11808,1048,"CONTRIBUTOR"
"Branch 179822007",0,0,0,0,"MEMBER"
"Show CCI badge in README",1,4,0,1,"OWNER"
"[XLA] Replace GCC vector extension with portable Intel SIMD",2,37,24,7,"CONTRIBUTOR"
"fix random_distributions_test",1,1,0,1,"CONTRIBUTOR"
"Bug fix for example_parsing_ops_test",1,31,29,1,"CONTRIBUTOR"
"Update Imageops Docs",1,5,5,4,"CONTRIBUTOR"
"support unknown shape for `sparse_multiclass_hing_loss`",2,28,3,3,"CONTRIBUTOR"
"Remove quantized_matmul_op_for_hexagon_test in Windows build scripts",1,0,2,2,"CONTRIBUTOR"
"Use a trailing period to define floating point constant.",1,1,1,1,"CONTRIBUTOR"
"mpi_collectives: Refactor to fix build issues",5,259,200,10,"CONTRIBUTOR"
"added note about weights gradient in compute_weighted_loss",1,7,0,1,"CONTRIBUTOR"
"Update API Docs",3,3,3,3,"CONTRIBUTOR"
"Update debugger.md",1,2,2,1,"CONTRIBUTOR"
"Branch 179628764",31,4785,595,102,"CONTRIBUTOR"
"Fix Golang readme installation instruction formatting",1,6,3,1,"CONTRIBUTOR"
"Clear the decref cache after calls to py_func to ensure no leaks",1,3,0,1,"MEMBER"
"fix typos",1,2,2,2,"CONTRIBUTOR"
"[XLA] Define LANG_CXX11 for >= VS 2015",2,2,2,2,"CONTRIBUTOR"
"[XLA] Use simplified version of TF_ASSIGN_OR_RETURN for MSVC",2,2,12,1,"CONTRIBUTOR"
"[XLA] Remove unused dlfcn.h and implement sincos[f] for MSVC",5,69,2,4,"CONTRIBUTOR"
"[XLA] Define ssize_t for Windows",1,28,1,2,"CONTRIBUTOR"
"[XLA] Hide GCC 7.1.1 workaround from MSVC",1,3,0,1,"CONTRIBUTOR"
"[XLA] Fix std::array initialization",1,5,5,1,"CONTRIBUTOR"
"[XLA] Use tensorflow::port::Aligned{Malloc,Free}",2,8,10,2,"CONTRIBUTOR"
"[XLA] Explicitly include <numeric>",1,1,0,1,"CONTRIBUTOR"
"[XLA] Add 'const' to custom comparator",1,1,1,1,"CONTRIBUTOR"
"[XLA] Use os.path for path manipulation",1,5,4,1,"CONTRIBUTOR"
"bugfix: long is 32 bits on Windows",1,5,5,3,"CONTRIBUTOR"
"Fix typos",1,1,1,1,"CONTRIBUTOR"
"Use BSD fnmatch on Windows",2,372,16,4,"CONTRIBUTOR"
"fix pooling1D dimension bug",2,15,11,2,"CONTRIBUTOR"
"Add ws2_32.lib to gcs_dns_cache_test's linkopts",1,2,0,1,"CONTRIBUTOR"
"Update mnist.py",1,1,1,1,"NONE"
"Add S3 logging to TensorFlow's logging system",13,227,2,7,"MEMBER"
"Branch 179578952",19,4207,1010,79,"CONTRIBUTOR"
"fix _Pooling1D data format bug",1,7,7,1,"CONTRIBUTOR"
"Fix a compile error in file_block_cache_test.cc",1,1,1,1,"CONTRIBUTOR"
"Fix issue building memory_stats with opencl",1,1,1,1,"CONTRIBUTOR"
"[XLA/tfcompile] Add Env::CreateUniqueFileName and use it in SaveGraph",5,57,28,4,"CONTRIBUTOR"
"fix typos",1,5,5,3,"CONTRIBUTOR"
"[WIP]  Add bazel runfiles manifest support for Windows",1,115,12,5,"CONTRIBUTOR"
"Revert changes in TrainingHelper that cause ""no gradient"" error",1,2,1,1,"CONTRIBUTOR"
"BUG: fix name scope collision in `tf.layers`",3,60,3,2,"CONTRIBUTOR"
"Release notes and version string update.",5,105,41,18,"OWNER"
"Compute test accuracy in batches to avoid OOM on GPUs.",1,9,2,1,"NONE"
"Add a wrapper for cc_library: tf_cc_library",1,646,429,76,"CONTRIBUTOR"
"Disable failing testcases on windows.",1,5,0,1,"OWNER"
"Updating MKL to the latest release.",1,4,4,1,"CONTRIBUTOR"
"Branch 179464468",129,18921,7935,369,"CONTRIBUTOR"
"Enable api compatibility test to also run on macos.",1,2,2,1,"OWNER"
"Upgrade all TF base images to ubuntu 16.",4,11,11,10,"OWNER"
"Small fix in the example",1,1,1,1,"NONE"
"Use Eigen version of the `scalar_fmod_op` for `fmod` ops",2,1,18,1,"MEMBER"
"Update core.py",1,1,1,1,"CONTRIBUTOR"
"Update math_ops.py",1,1,1,1,"CONTRIBUTOR"
"call within the loop",2,4,3,1,"CONTRIBUTOR"
"Fix lib_strings_str_util_test on Windows",1,1,2,2,"CONTRIBUTOR"
"New metric: Cohen's kappa",22,340,6,4,"CONTRIBUTOR"
"[WIP] Add tf_copts to XLA libraries",1,291,259,28,"CONTRIBUTOR"
"Add an is_external arg to tf_copts",1,40,31,2,"CONTRIBUTOR"
"R0.7",6,18,25,5,"NONE"
"Simple Recurrent Unit",13,107,0,2,"CONTRIBUTOR"
"Revert ""Initial SRU Implementation (#13978)""",2,38,713,11,"OWNER"
"Add shape function SingleImageRandomDotStereograms",4,129,0,3,"MEMBER"
"Fix failing test //tensorflow/python:function_test",2,161,1,4,"MEMBER"
"Add common error documentation",1,4,0,1,"CONTRIBUTOR"
"Fix the CODEOWNERS file syntax",1,47,47,1,"MEMBER"
"MKL: Fixes for concat and elementwise ops",7,8,6,2,"CONTRIBUTOR"
"Fix tflite models.md title",0,0,0,0,"NONE"
"MKL: Adding missing reorders in ReLU and AddN",1,179,70,2,"CONTRIBUTOR"
"Bump the eigen dependency version.",1,4,4,1,"OWNER"
"Fix bug: leaky relu supports float64",8,12,7,2,"CONTRIBUTOR"
"Fix typo of tf.abs docstring",1,1,1,1,"CONTRIBUTOR"
"Update C API test data comparison for s390x",7,11,2,2,"CONTRIBUTOR"
"Fix api usage in examples of GAN",1,8,8,1,"CONTRIBUTOR"
"Fix PEP8",1,9,9,4,"CONTRIBUTOR"
"Add description for new PR workflow.",2,3,0,1,"MEMBER"
"Instead of ""option"" use ""set"" to define non-bool cmake build args.",1,2,2,1,"OWNER"
"Clean bazel `all_files` targets",2,251,1,16,"CONTRIBUTOR"
"Fix broken image link in TensorFlow Lite's docs",0,0,0,0,"CONTRIBUTOR"
"Branch 178996911",91,40600,20594,252,"MEMBER"
"Dockerfile.devel-gpu: optimize the size of the generated image",1,16,14,3,"CONTRIBUTOR"
"[Go]: Make op wrapper generation more robust.",1,6,1,2,"MEMBER"
"Branch 178965261",76,38755,19494,193,"MEMBER"
"Revert ""Add batch support for various image_ops (#14854)""",1,116,322,2,"OWNER"
"Benchmarks for flipping and random flipping",2,83,0,1,"OWNER"
"Update location for x86_64 android build",1,1,1,1,"MEMBER"
"Fix broken link in tensorflow lite readme",1,1,1,1,"CONTRIBUTOR"
"[XLA/tfcompile] Implement mkstemps for MSVC",1,84,0,1,"CONTRIBUTOR"
"Fix typos",1,10,10,10,"CONTRIBUTOR"
"Fix issues in doc `tf.Placeholder` should be `tf.placeholder`",1,2,2,1,"MEMBER"
"Explicitly specify CUDA and CUDNN versions",1,2,1,1,"MEMBER"
"Make GANEstimator global_step_inc dependent on gen and dis losses",1,4,1,1,"CONTRIBUTOR"
"Exclude tests from contrib_py",1,6,1,1,"CONTRIBUTOR"
"Refactor methods for path calculation",2,49,4,2,"CONTRIBUTOR"
"Fixing typo",1,1,1,1,"CONTRIBUTOR"
"[XLA/tfcompile] Various fixes for MSVC Part 1",10,60,21,11,"CONTRIBUTOR"
"improve compute high rank hessians",0,0,0,0,"CONTRIBUTOR"
"Removing unused variable ""b"" in EventsWriter from events_writer_test.py",1,1,1,1,"CONTRIBUTOR"
"Fix initialization of tf.contrib.layers.spatial_softmax temperature",1,18,9,1,"CONTRIBUTOR"
"Fix #15297: bfloat16 is unsigned on Windows",1,1,0,1,"CONTRIBUTOR"
"Removing extra ""d"" after close() method in SessionTest.java",2,1,1,1,"CONTRIBUTOR"
"Documentation - Fixing 'if' spelling",1,1,1,1,"CONTRIBUTOR"
"Model Average Optimizer",4,522,1,4,"CONTRIBUTOR"
"Parameterize tensorflow CUDA and cudnn versions in cmake build.",1,18,10,1,"OWNER"
"Add name scope to tf.image",4,341,287,2,"CONTRIBUTOR"
"Replace loop iteration with `chip`",1,1,5,1,"MEMBER"
"Use base_dtype for self._dtype in tf.layers",1,1,1,1,"CONTRIBUTOR"
"Branch 178689056",114,10005,3230,324,"MEMBER"
"Fix minor typo in CUDNN_VERSION check",1,1,1,1,"CONTRIBUTOR"
"Fixed memory_stats_ops_test",1,2,1,1,"CONTRIBUTOR"
"Remove redundant dependencies.",1,0,6,1,"MEMBER"
"[XLA] Make the client_test able to be disabled using a manifest file",1,4,3,1,"CONTRIBUTOR"
"[XLA] Fix OS/X compile error with std::transform and  std::addressof",2,2,1,1,"CONTRIBUTOR"
"correct the misspell of Quantize",1,1,1,1,"NONE"
"Test remove __force_inline [DO NOT MERGE]",1,6,4,2,"MEMBER"
"Support empty input tensor for some ops (fix #14657)",8,181,37,12,"CONTRIBUTOR"
"Fix typo",1,2,2,1,"CONTRIBUTOR"
"Add int64 support for BroadcastArgs and BroadcastGradientArgs",3,74,17,2,"MEMBER"
"include _solib_* in pip package",1,9,4,1,"CONTRIBUTOR"
"fix typo",1,2,2,2,"CONTRIBUTOR"
"Instead of python, use PYTHON_BIN_PATH in pip.sh.",4,8,1,4,"OWNER"
"Replace `variables.get_global_step()` use `training_util.get_global_step()`",2,40,40,11,"CONTRIBUTOR"
"add c++ gradient for op: Pow",5,43,0,2,"CONTRIBUTOR"
"Switched optimization mode for Pi builds to avoid internal compiler error",0,0,0,0,"MEMBER"
"fix typo",1,2,2,1,"CONTRIBUTOR"
"[XLA] Fix another XLA/tfcompile compile error on OSX ",1,9,2,1,"CONTRIBUTOR"
"MKL: Fixing MKL-DNN convolution filter propagation to backprop",1,81,28,3,"CONTRIBUTOR"
"Also install libssl-dev to make pip/py3.6 work properly.",1,1,0,1,"OWNER"
"Update .gitignore",1,2,2,1,"CONTRIBUTOR"
"Add TensorFlow support for tf.repeat (equivalent to np.repeat)",6,281,0,6,"MEMBER"
"pip.sh: unify the way virtualenv is invoked",1,6,13,1,"CONTRIBUTOR"
"Delete Dockerfile.devel-gpu-cuda9-cudnn7",1,0,115,1,"OWNER"
"Create test.txt",1,1,0,1,"NONE"
"1.4.1 Release Updates",1,5,0,1,"MEMBER"
"Fix tag in source_remote_test: no_mac --> nomac",1,1,1,1,"CONTRIBUTOR"
"[MSVC] Add tensorflow::ops prefix for {Read,Write}File",1,4,3,1,"CONTRIBUTOR"
"Fix a typo in estimators.md",1,1,1,1,"MEMBER"
"Training test fix",1,2,2,1,"MEMBER"
"Branch 178260923",17,1032,154,46,"CONTRIBUTOR"
"Fix ios_makefile.inc for TFLite iOS demo app",1,47,31,1,"CONTRIBUTOR"
" fix #15188 replaced isnan with std::isnan to avoid build error ",4,1,1,1,"CONTRIBUTOR"
"Cherrypicks for 1.4.1",4,187,55,8,"MEMBER"
"Fix assert_called error on Python3",1,2,2,1,"CONTRIBUTOR"
